Unnamed: 0.1,Unnamed: 0,Timestamp,Component_Name,Part_Number,Description,Quantity,Material,Supplier,Unit_Cost,Lead_Time,Criticality,Source_of_Supply,Revision_Level,Manufacturing_Process,Quality_Standards,Testing_Requirements,Assembly_Instructions,Subassembly_Level,Weight,Packaging_Information,Environmental_Compliance,Safety_Considerations,Demand
15,49,2027-07-01 08:00:00,LBC-002,27297,Cathode Voltage Limiter,1,Electronic Components,Vendor FFF,500,10 weeks,Medium,External,A.1,PLD Integration,SEMI S567,Helium Leak Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,17.0
85,93,2026-12-01 08:00:00,GPS-002,11223,Remote Monitoring System,1,Stainless Steel,Vendor T,30000,20 weeks,High,External,B.2,FTIR Spectroscopy Integration,SEMI S567,Resolution Enhancement Test,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",-,240.0
0,100,2030-03-01 08:00:00,UTS-002,81200,Fourier Transform Spectrometer Module,1,Polypropylene,Vendor B,30000,12 weeks,High,External,A.2,FTS Integration,SEMI S567,Terahertz Wave Analysis,Provided by vendor,Level 1,6.0,Custom crate,"RoHS, REACH",-,24.0
100,52,2026-06-01 08:00:00,LBC-002,99002,Gas distribution manifold,1,Titanium,Vendor T,8459,14 weeks,Medium,External,A.2,CVL Integration,SEMI S890,Plasma Uniformity Test,Provided by vendor,Level 2,161.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,56.0
74,72,2028-10-01 08:00:00,ACP-001,81867,High-Voltage Modulator,1,"Ceramic, Polyurethane",Vendor OO,30000,18 weeks,High,External,A.1,LSM Integration,SEMI S234,Coating Uniformity Test,Provided by vendor,Level 2,169.0,Custom crate,"RoHS, REACH",-,82.0
40,70,2025-01-01 08:00:00,SPG-001,11223,Electron Microscopy System,1,"Copper, Silicon",Vendor D,1832,12 weeks,Medium,External,A.1,Controller Assembly,SEMI S234,Thermal Control Tests,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,240.0
0,57,2023-11-01 08:00:00,TSP-002,78177,Plasma Control Software System,1,"Electronic Components, Plastic",Vendor M,500,12 weeks,Medium,External,A.1,Plasma Brush Technology,SEMI S567,Remote Monitoring Tests,Provided by vendor,Level 1,93.0,Custom packaging,"RoHS, REACH",-,188.0
18,88,2023-11-01 08:00:00,LPC-002,19508,Cathode Voltage Limiter,1,"Silicon, Plastic",Vendor I,30000,12 weeks,Medium,External,A.1,Software Development,SEMI S567,Mass Accuracy Test,Provided by vendor,Level 2,19.0,Digital delivery,"RoHS, REACH",-,240.0
0,88,2029-03-01 08:00:00,PRA-001,84856,Remote Tuning System,1,"Aluminum, Glass",Vendor E,30000,12 weeks,High,External,A.3,PRA Integration,SEMI S567,Electromagnetic Compatibility Test,Provided by vendor,Level 1,179.0,Custom crate,"RoHS, REACH",-,94.0
100,100,2029-09-01 08:00:00,CPS-002,11223,Fourier Transform Infrared Spectroscopy Module,1,"Silicon, Glass",Vendor XYZ,12021,15 weeks,High,External,A.2,Pressure Gauge Assembly,SEMI S345,Resolution Test,Provided by vendor,Level 1,2.0,Digital delivery,"RoHS, REACH",-,34.0
80,74,2025-05-01 08:00:00,CAL-001,48851,Ion Milling System,1,"Aluminum Alloy, Ceramic",Vendor F,19334,8 weeks,Medium,External,B.1,Nanoparticle Deposition,SEMI S456,RFQ Stability Test,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",-,32.0
50,28,2029-05-01 08:00:00,PMS-001,81934,Electrostatic Magnetic Field Module,1,Titanium,Vendor PP,17081,14 weeks,Medium,External,A.2,Sensor Integration,SEMI S567,Data Accuracy Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,207.0
11,52,2030-04-01 08:00:00,GPS-002,11223,Electromagnetic Coil,1,Stainless Steel,Vendor U,500,12 weeks,Medium,External,A.2,ACU Integration,SEMI S456,Gas Flow Stability Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,118.0
40,100,2023-07-01 08:00:00,TSP-002,11223,Liquid Delivery System,1,"Aluminum, Optical Glass",Vendor HH,500,8 weeks,High,External,B.1,Cylinder Filling,SEMI S345,Visual Inspection,Provided by vendor,Level 2,48.0,Custom crate,"RoHS, REACH",-,240.0
33,49,2023-09-01 08:00:00,GSU-001,99002,Remote Monitoring System,1,Ceramic,Vendor A,11831,15 weeks,High,External,A.3,Coating and Sputtering,SEMI S345,Voltage Limiting Test,Provided by vendor,Level 1,180.0,Custom crate,"RoHS, REACH",-,115.0
100,75,2029-01-01 08:00:00,NEW-001,28475,High-Flow Sampling System,1,Electronic Components,Vendor U,20918,12 weeks,Medium,External,B.1,Gas Supply System Assembly,SEMI S567,Electrical Safety Tests,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,33.0
35,89,2023-08-01 08:00:00,THZ-001,51862,Extreme Ultraviolet Light Source,1,"Copper, Ceramic",Vendor E,29328,15 weeks,Medium,External,B.1,CVL Integration,SEMI S123,Flow Rate Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,216.0
100,87,2026-05-01 08:00:00,CS-002,99002,Calibration Kit,1,"Stainless Steel, Glass",Vendor Q,30000,4 weeks,High,External,A.2,HVM Integration,ISO 14001,Spectral Resolution Test,Provided by vendor,Level 1,172.0,Custom crate,"RoHS, REACH",-,53.0
42,7,2029-07-01 08:00:00,GC-003,11223,Lamp for Plasma Source,1,Quartz,Vendor C,500,12 weeks,High,External,A.2,Gas Supply System Assembly,SEMI S456,Electrical Safety Tests,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,240.0
48,60,2023-08-01 08:00:00,GSU-001,47503,Ion Implantation Module,1,"Copper, Ceramic",Vendor Z,26570,12 weeks,High,External,A.2,AFR Integration,SEMI S456,Pressure Calibration,Provided by vendor,Level 2,174.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,68.0
93,100,2025-02-01 08:00:00,GDS-001,11223,Atmospheric Control Panel,1,"Aluminum, Optical Glass",Vendor WW,8873,8 weeks,Medium,External,A.3,"CNC Machining, Welding",SEMI S123,Plasma Characteristics Analysis,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",-,240.0
23,100,2023-12-01 08:00:00,FCM-002,99002,Laser Spectroscopy Module,1,Electronic Components,Vendor ZZ,28937,6 weeks,High,External,A.2,Chiller Assembly,ISO 14001,High-Voltage Tests,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,235.0
63,87,2029-07-01 08:00:00,THZ-001,11223,Pressure Gauge,1,"Electronic Components, Plastic",Vendor Y,19468,15 weeks,Medium,External,A.1,PMS Integration,SEMI S456,Robotic Tests,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,240.0
29,53,2027-04-01 08:00:00,DTP-001,96245,Control system for plasma parameters,1,Brass,Vendor VV,5541,10 weeks,High,External,A.3,MIR Spectroscopy Integration,SEMI S456,Particle Acceleration Test,Provided by vendor,Level 1,81.0,Custom packaging,"RoHS, REACH",-,240.0
13,78,2026-10-01 08:00:00,PRA-001,11223,Plasma Power Supply,1,"Titanium, Polypropylene",Vendor N,500,4 weeks,Low,External,A.1,MEMS Fabrication,SEMI S567,Image Resolution Test,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",-,240.0
80,62,2030-06-01 08:00:00,FTIR-001,45278,Remote Plasma Inspection Unit,1,"Stainless Steel, Polyethylene",Vendor P,30000,20 weeks,High,External,A.2,Advanced Plasma Generation,SEMI S234,Image Resolution Test,Provided by vendor,Level 1,65.0,Custom crate,"RoHS, REACH",-,8.0
100,100,2023-07-01 08:00:00,RFQ-002,18444,Control System Unit,1,"Ceramic, Titanium",Vendor I,7170,8 weeks,Medium,External,B.2,Pressure Gauge Assembly,SEMI S345,Thermal Stability Tests,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",-,134.0
0,22,2029-05-01 08:00:00,PHOTO-002,76549,Liquid Vaporizer Device,1,"Polyethylene, Aluminum",Vendor H,500,4 weeks,High,External,A.1,Precision Machining,SEMI S234,Magnetic Field Strength Test,Provided by vendor,Level 1,143.0,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,82.0
0,100,2029-09-01 08:00:00,VSS-002,32807,Photolithography Enhancement Unit,1,"Titanium, Silicon",Vendor W,28279,8 weeks,Medium,External,B.1,THZ Spectroscopy Integration,SEMI S345,Electrical Tests,Provided by vendor,Level 2,166.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
100,79,2025-01-01 08:00:00,MFM-002,28771,Advanced Plasma Source,1,Mercury Vapor,Vendor F,30000,15 weeks,High,External,A.2,Flow Rate Calibration,SEMI S678,Robotic Tests,Provided by vendor,Level 2,109.0,Custom packaging,"RoHS, REACH",-,26.0
100,89,2027-09-01 08:00:00,GDS-001,11223,Photolithography Enhancement Unit,1,"Aluminum, Glass",Vendor J,1688,4 weeks,Low,External,A.3,Photolithography Integration,ISO 14001,Performance Test,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,99.0
46,43,2029-10-01 08:00:00,MFM-002,99002,High-performance vacuum system,1,Carbon Composite,Vendor QQ,14598,8 weeks,Low,External,A.3,Thermoelectric Cooling,SEMI S567,Leak Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,8.0
100,91,2030-02-01 08:00:00,EMF-002,66834,Vacuum Leak Checker,1,"Polyethylene, Aluminum",Vendor A,500,12 weeks,High,External,A.1,Electronic Assembly,SEMI S345,Pressure Test,Provided by vendor,Level 1,167.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,221.0
26,86,2025-07-01 08:00:00,LBC-002,75906,Gas purification and filtration,1,Plastic,Vendor YY,500,15 weeks,High,External,B.2,Photolithography Integration,SEMI S890,Resolution Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,154.0
100,93,2027-04-01 08:00:00,NANO-002,42099,Fourier Transform Spectrometer Module,1,Optical Elements,Vendor P,30000,10 weeks,High,External,A.3,RTS Integration,SEMI S567,Image Resolution Test,Provided by vendor,Level 1,99.0,Custom packaging,"RoHS, REACH",-,87.0
100,19,2023-08-01 08:00:00,ACU-002,60193,Laser Beam Collimation Unit,1,"Zinc Sulfide, Aluminum",Vendor F,500,15 weeks,High,External,A.2,Robotic Assembly,SEMI S567,Software Testing,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,50.0
54,93,2027-05-01 08:00:00,LDP-002,27776,Lamp for Plasma Source,1,"Gold, Quartz",Vendor DDD,30000,4 weeks,High,External,B.2,CSU Integration,SEMI S567,Dielectric Barrier Discharge Test,Provided by vendor,Level 2,177.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,229.0
13,0,2026-09-01 08:00:00,PLC-002,83871,Lid for chamber,1,Stainless Steel,Vendor KK,500,12 weeks,High,External,A.1,Electronic Assembly,SEMI S567,Electrical Safety Tests,Provided by vendor,Level 2,177.0,Custom crate,"RoHS, REACH",-,240.0
85,0,2029-06-01 08:00:00,CAL-001,99002,Spectroscopic Ellipsometry Module,1,Optical Elements,Vendor D,9872,12 weeks,High,External,B.2,Electronic Assembly,SEMI S567,Software Testing,Provided by vendor,Level 1,177.0,Custom crate,"RoHS, REACH",-,24.0
47,100,2026-08-01 08:00:00,CCD-003,11223,Lid for chamber,1,Stainless Steel,Vendor PP,30000,8 weeks,High,External,A.2,MFM Integration,SEMI S345,Pressure Test,Provided by vendor,Level 1,56.0,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,222.0
0,24,2027-07-01 08:00:00,APS-002,60642,Remote Tuning System,1,Stainless Steel,Vendor N,500,8 weeks,High,External,A.2,Electronics Integration,ISO 9001,Performance Test,Provided by vendor,Level 1,176.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,27.0
1,89,2029-05-01 08:00:00,FCM-002,99002,Time-of-Flight Mass Spectrometry Module,1,"Aluminum, Glass",Vendor T,500,10 weeks,Medium,External,A.1,Hydrogen Activation Process,ISO 9001,Spectral Analysis Test,Provided by vendor,Level 2,176.0,Custom crate,"RoHS, REACH",-,206.0
24,3,2023-12-01 08:00:00,RFI-002,76189,Digital-to-Analog Converter,1,Carbon Composite,Vendor D,500,10 weeks,Medium,External,A.1,LBC Integration,SEMI S234,Magnetic Field Uniformity Test,Provided by vendor,Level 2,7.0,Custom packaging,"RoHS, REACH",-,83.0
97,24,2029-10-01 08:00:00,DIE-001,16044,Flow Control Module,1,Polypropylene,Vendor XX,4976,8 weeks,Medium,External,A.2,FTIR Spectroscopy Integration,SEMI S789,Temperature Stability Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,52.0
93,97,2027-02-01 08:00:00,ESR-002,75420,Gas Chromatography Module,1,Titanium,Vendor R,15482,8 weeks,High,External,A.3,Software Development,SEMI S456,Magnetic Field Strength Test,Provided by vendor,Level 2,105.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,220.0
69,100,2028-08-01 08:00:00,LSM-002,45043,Gas purification and filtration,1,Stainless Steel,Vendor XX,30000,8 weeks,Medium,External,A.2,RFS Integration,SEMI S345,Mass Accuracy Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,29.0
100,52,2028-10-01 08:00:00,WHS-001,70450,Lamp for Plasma Source,1,"Electronic Components, Plastic",Vendor E,14907,6 weeks,Low,External,A.1,Flow Rate Calibration,SEMI S234,Temperature Profile Test,Provided by vendor,Level 1,10.0,Custom packaging,"RoHS, REACH",-,122.0
35,92,2023-09-01 08:00:00,CST-001,83655,Coolant Pump for Closed-loop System,1,"Aluminum, Glass",Vendor RR,16103,16 weeks,High,External,A.2,DTP Integration,SEMI S456,Resolution Test,Provided by vendor,Level 2,167.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,109.0
54,74,2027-03-01 08:00:00,EMF-002,99002,Low-Pressure Chamber Module,1,Ceramic,Vendor R,500,16 weeks,High,External,B.1,Software Development,SEMI S789,Vacuum Integrity Test,Provided by vendor,Level 1,166.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,134.0
85,85,2027-05-01 08:00:00,SPA-001,99002,Electron Microscopy System,1,"Ceramic, Silicon",Vendor F,10418,12 weeks,High,External,B.1,Coil Assembly,SEMI S345,Spectral Resolution Test,Provided by vendor,Level 1,179.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,46.0
100,90,2023-01-01 08:00:00,PCS-002,92319,Main chamber body,1,"Aluminum, Optical Glass",Vendor P,500,10 weeks,High,External,B.2,MFM Integration,SEMI S678,Voltage Modulation Test,Provided by vendor,Level 1,164.0,Custom packaging,"RoHS, REACH",-,56.0
0,0,2026-07-01 08:00:00,CS-002,11223,Fourier Transform Infrared Spectroscopy Module,1,"Steel, Brass",Vendor F,500,12 weeks,Medium,External,A.1,Advanced Plasma Generation,ISO 14001,Terahertz Wave Analysis,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,109.0
31,100,2029-10-01 08:00:00,ACU-002,82875,Plasma Monitoring System,1,Electronic Components,Vendor X,30000,16 weeks,High,External,A.2,Ion Implantation Process,SEMI S678,Calibration Tests,Provided by vendor,Level 2,181.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
76,28,2027-08-01 08:00:00,TCU-002,13902,Coolant Pump for Closed-loop System,1,Zinc Selenide,Vendor M,500,12 weeks,High,External,A.2,Photolithography Integration,ISO 9001,Magnetic Field Uniformity Test,Provided by vendor,Level 1,152.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,34.0
52,93,2029-12-01 08:00:00,TOF-001,99002,Laser Beam Collimation Unit,1,"Titanium, Polypropylene",Vendor L,30000,4 weeks,Medium,External,A.2,Ultrasonic Testing Integration,SEMI S567,Resonance Frequency Test,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
93,42,2028-05-01 08:00:00,HPS-002,11223,Pressure Sensing Device,1,Software,Vendor C,24272,10 weeks,High,External,A.2,IMS Integration,SEMI S567,Visual Inspection,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,89.0
100,100,2023-02-01 08:00:00,EMS-002,99002,Data Acquisition System,1,"Stainless Steel, Glass",Vendor TT,30000,20 weeks,Medium,External,A.2,RMS Integration,SEMI S345,Thermal Control Tests,Provided by vendor,Level 1,172.0,Custom crate,"RoHS, REACH",-,26.0
100,0,2028-03-01 08:00:00,EMF-002,88975,Nanoparticle Deposition Module,1,Stainless Steel,Vendor J,500,15 weeks,Medium,External,A.3,FTIR Spectroscopy Integration,SEMI S345,Magnetic Field Strength Test,Provided by vendor,Level 2,158.0,Custom crate,"RoHS, REACH",-,139.0
69,25,2028-05-01 08:00:00,CHM-001,24247,Plasma Control Software System,1,Zinc Selenide,Vendor T,12236,20 weeks,Medium,External,A.1,EUV Technology,SEMI S567,Control System Tests,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,224.0
100,94,2029-05-01 08:00:00,SPA-001,99002,Thermal Control Unit,1,"Ceramic, Titanium",Vendor H,30000,8 weeks,Medium,External,A.2,"CNC Machining, Welding",SEMI S567,Pressure Calibration,Provided by vendor,Level 2,144.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,30.0
67,92,2026-12-01 08:00:00,UTS-002,80586,Valve for Gas Distribution,1,"Stainless Steel, Polyethylene",Vendor C,21248,4 weeks,High,External,A.3,MIR Spectroscopy Integration,SEMI S567,Visual Inspection,Provided by vendor,Level 2,180.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,69.0
90,43,2023-09-01 08:00:00,IMS-002,78751,Coolant Pump for Closed-loop System,1,"Aluminum, Glass",Vendor E,19876,14 weeks,High,External,A.3,Vacuum Technology,SEMI S678,Control System Tests,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",-,202.0
100,87,2029-08-01 08:00:00,HGA-001,11223,Thermal Stability Probe,1,Stainless Steel,Vendor B,500,10 weeks,High,External,A.2,Nanoparticle Deposition,SEMI S345,Separation Efficiency Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,52.0
100,44,2027-04-01 08:00:00,AFM-001,11223,Fault Tolerance System,1,"Quartz, Dielectric Materials",Vendor B,11735,8 weeks,Low,External,A.2,ESR Integration,SEMI S678,Resolution Enhancement Test,Provided by vendor,Level 2,139.0,Custom crate,"RoHS, REACH",-,110.0
86,18,2026-02-01 08:00:00,EMS-002,26713,Laser Beam Collimation Unit,1,"Titanium, Quartz",Vendor R,500,14 weeks,Medium,External,B.1,Valve Assembly,SEMI S345,Ion Dose Uniformity Test,Provided by vendor,Level 1,8.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,25.0
85,88,2023-07-01 08:00:00,TCU-002,11223,Pressure Sensing Device,1,Ceramic,Vendor AA,15844,8 weeks,Medium,External,A.2,RMS Integration,SEMI S456,Deposition Uniformity Test,Provided by vendor,Level 2,20.0,Custom packaging,"RoHS, REACH",-,49.0
0,93,2027-05-01 08:00:00,AFR-002,45938,High-performance vacuum system,1,Electronic Components,Vendor A,2148,6 weeks,Medium,External,A.3,Hydrogen Activation Process,SEMI S234,Spectral Analysis Test,Provided by vendor,Level 2,75.0,Custom crate,"RoHS, REACH",-,240.0
24,100,2028-05-01 08:00:00,LPC-002,99002,Mid-Infrared Spectroscopy Module,1,"Stainless Steel, Plastic",Vendor YY,19182,14 weeks,High,External,A.1,RMS Integration,SEMI S567,Image Resolution Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,240.0
57,11,2029-05-01 08:00:00,CAL-001,62189,Atomic Force Microscope Attachment,1,"Aluminum, Glass",Vendor R,500,8 weeks,Medium,External,A.3,DTP Integration,SEMI S456,Mass Resolution Test,Provided by vendor,Level 2,40.0,Custom crate,"RoHS, REACH",-,37.0
100,100,2027-08-01 08:00:00,GC-002,99002,Extreme Ultraviolet Light Source,1,Brass,Vendor WW,500,10 weeks,Medium,External,A.1,Photolithography Integration,SEMI S567,Pressure Test,Provided by vendor,Level 1,24.0,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,111.0
99,100,2026-11-01 08:00:00,AFR-002,11223,Liquid Vaporizer Device,1,"Aluminum, Glass",Vendor S,11021,12 weeks,Medium,External,A.3,LDS Assembly,SEMI S345,Gas Flow Stability Test,Provided by vendor,Level 2,132.0,Custom crate,"RoHS, REACH",-,240.0
0,91,2023-05-01 08:00:00,CHM-001,11223,System for controlling gas flow rates,1,Plastic,Vendor RR,18981,16 weeks,Medium,External,B.2,Hydrogen Activation Process,SEMI S234,Remote Monitoring Tests,Provided by vendor,Level 2,18.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
100,81,2029-12-01 08:00:00,ACP-001,11223,Fourier Transform Infrared Spectroscopy Module,1,Plastic,Vendor XX,30000,15 weeks,High,External,B.1,ACU Integration,SEMI S456,Deposition Uniformity Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,146.0
