Component Name;Part Number;Description;Quantity;Material;Supplier;Unit Cost;Lead Time;Criticality;Source of Supply;Revision Level;Manufacturing Process;Quality Standards;Testing Requirements;Assembly Instructions;Subassembly Level;Weight;Packaging Information;Environmental Compliance;Safety Considerations
Gas Flow Management System;WLS-002;Ion source for plasma etching;1;Electronic Components;Vendor C;$18,000;14 weeks;Medium;External;A.1;Flow Rate Calibration;SEMI S678;Vacuum Integrity Test;Provided by vendor;Level 1;120 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Lid Assembly;GDS-001;Lid for chamber;1;Copper, Silicon;Vendor M;$5,000;8 weeks;Medium;External;A.1;Software Development;SEMI S123;Functional Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Gas Flow Management System;PSU-002;Robot arm and wafer chuck;1;Software;Vendor Q;$10,000;10 weeks;High;External;A.1;CNC Machining;SEMI S678;Mass Spectrometry Test;Provided by vendor;Level 1;200 kg;Custom crate;RoHS, REACH;-
Gas Delivery System;WHS-001;Lid for chamber;1;Copper, Silicon;Vendor F;$15,000;10 weeks;Medium;External;A.1;Laser Cutting, Assembly;SEMI S345;Diagnostics Performance Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Cooling System;CSS-002;High-performance vacuum system;1;Stainless Steel;Vendor E;$5,000;15 weeks;High;External;A.2;CNC Machining;SEMI S123;Gas Purity Analysis;Provided by vendor;Level 1;70 kg;Custom crate;RoHS, REACH;-
Gas Delivery System;WHS-001;Main chamber body;1;Stainless Steel;Vendor F;$30,000;20 weeks;Medium;External;A.2;CNC Machining;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Gas Delivery System;PSU-002;Main chamber body;1;Electronic Components;Vendor Q;$15,000;12 weeks;High;External;A.1;CNC Machining;ISO 9001;Electrical Safety Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;-
Chamber Assembly;CS-002;Lid for chamber;1;Electronic Components;Vendor P;$20,000;10 weeks;High;External;A.2;CNC Machining;SEMI S234;Gas Purity Analysis;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Vacuum System;PCU-002;Gas distribution manifold;1;Various;Vendor J;$30,000;20 weeks;Medium;External;B.1;CNC Machining, Welding;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;CSS-002;Software system for process control;1;Stainless Steel;Vendor E;$8,000;10 weeks;High;External;A.1;Integration of Diagnostics;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Wafer Handling System;VS-002;High-voltage power supply;1;Titanium;Vendor J;$18,000;14 weeks;Medium;External;B.1;Thermoelectric Cooling;SEMI S234;Electrical Tests;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Vacuum System;GFMS-002;High-performance vacuum system;1;Stainless Steel;Vendor J;$30,000;14 weeks;High;External;B.1;CNC Machining, Welding;SEMI S234;Electrical Tests;Provided by vendor;Level 2;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;PCU-002;Software system for process control;1;Stainless Steel;Vendor L;$8,000;10 weeks;High;External;A.1;Quartz Fabrication;SEMI S678;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Gas Delivery System;CHM-001;High-voltage power supply;1;Quartz;Vendor H;$25,000;18 weeks;High;External;A.1;Software Development;SEMI S345;Functional Tests;Provided by vendor;Level 1;120 kg;Digital delivery;RoHS, REACH;Safety interlocks during maintenance
Vacuum System;CS-002;High-performance vacuum system;1;Stainless Steel;Vendor K;$15,000;20 weeks;Medium;External;B.2;Robotic Assembly;SEMI S567;Electrical Safety Tests;Provided by vendor;Level 1;40 kg;Custom crate;RoHS, REACH;-
Ion Source Assembly;CSS-002;Ion source for plasma etching;1;Stainless Steel;Vendor J;$15,000;16 weeks;Medium;External;A.3;Filtration and Purification;SEMI S567;Leak Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;CHM-001;Software system for process control;1;Inconel;Vendor E;$8,000;14 weeks;High;External;A.1;Software Development;SEMI S567;Gas Purity Analysis;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Power Supply Unit;PCU-002;Precision temperature control;1;Various;Vendor F;$22,000;14 weeks;High;External;A.3;Integration of Components;SEMI S456;Robotic Tests;Provided by vendor;Level 1;80 kg;Custom packaging;RoHS, REACH;-
Vacuum System;WHS-001;High-voltage power supply;1;Stainless Steel;Vendor L;$30,000;12 weeks;High;External;B.1;Vacuum Technology;SEMI S890;Vacuum Integrity Test;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;CS-002;High-voltage power supply;1;Aluminum Alloy;Vendor M;$22,000;14 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Tests;Provided by vendor;Level 2;200 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Vacuum System;PSA-001;System for loading wafers into chamber;1;Stainless Steel;Vendor L;$28,000;12 weeks;High;External;A.3;Laser Cutting, Assembly;SEMI S567;Functional Tests;Provided by vendor;Level 1;200 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Loading System;TCU-002;High-performance vacuum system;1;Stainless Steel;Vendor F;$15,000;20 weeks;Medium;External;B.2;Automated Loading;SEMI S789;Vacuum Integrity Test;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;CS-002;Specialized chamber for etching process;1;Stainless Steel;Vendor P;$30,000;15 weeks;Medium;External;B.1;Laser Cutting, Assembly;SEMI S678;Temperature Stability Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Purification System;GDS-001;Software system for process control;1;Stainless Steel;Vendor O;$12,000;12 weeks;High;External;A.1;Flow Rate Calibration;ISO 9001;Electrical Tests;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;-
Vacuum System;CS-002;High-performance vacuum system;1;Stainless Steel;Vendor Q;$30,000;20 weeks;Medium;External;A.2;Thermoelectric Cooling;SEMI S456;Vacuum Integrity Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;CSS-002;System for loading wafers into chamber;1;Software;Vendor N;$15,000;10 weeks;High;External;A.1;Software Development;SEMI S123;Gas Purity Analysis;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;-
Wafer Loading System;PSU-002;High-performance vacuum system;1;Stainless Steel;Vendor L;$20,000;14 weeks;Medium;External;B.1;Laser Cutting, Assembly;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Control Software System;CSS-002;Software system for process control;1;Software;Vendor Q;$8,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Chamber Assembly;CSS-002;Closed-loop coolant system;1;Electronic Components;Vendor H;$15,000;12 weeks;High;External;A.1;Electronic Assembly;ISO 9001;Software Testing;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Wafer Loading System;CHM-001;Gas purification and filtration;1;Electronic Components;Vendor O;$25,000;12 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Functional Tests;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;CSS-002;Gas distribution manifold;1;Stainless Steel;Vendor Q;$8,000;12 weeks;High;External;A.1;Software Development;SEMI S456;Visual Inspection;Provided by vendor;Level 1;70 kg;Digital delivery;RoHS, REACH;-
Plasma Diagnostics Module;VS-002;Ion source for plasma etching;1;Aluminum Alloy, Ceramic;Vendor J;$20,000;14 weeks;Medium;External;A.1;Automated Loading;SEMI S234;Vacuum Integrity Test;Provided by vendor;Level 1;100 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;CHM-001;Robot arm and wafer chuck;1;Aluminum Alloy;Vendor K;$15,000;18 weeks;High;External;A.1;Quartz Fabrication;SEMI S567;Diagnostics Performance Test;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;ISA-002;Closed-loop coolant system;1;Stainless Steel;Vendor D;$20,000;14 weeks;Medium;External;A.3;Integration of Components;SEMI S789;Diagnostics Performance Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Gas Purification System;GDS-001;High-performance vacuum system;1;Stainless Steel;Vendor M;$15,000;22 weeks;Medium;External;A.1;Vacuum Technology;SEMI S456;Visual Inspection;Provided by vendor;Level 2;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Loading System;VS-002;System for loading wafers into chamber;1;Stainless Steel;Vendor L;$12,000;14 weeks;Medium;External;B.1;Flow Rate Calibration;SEMI S678;Mass Spectrometry Test;Provided by vendor;Level 2;60 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Power Supply Unit;GPS-002;Main chamber body;1;Various;Vendor I;$15,000;12 weeks;High;External;A.1;Integration of Diagnostics;SEMI S789;Robotic Tests;Provided by vendor;Level 1;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Ion Source Assembly;ISA-002;Precision temperature control;1;Titanium;Vendor H;$18,000;14 weeks;Medium;External;A.3;Laser Cutting, Assembly;SEMI S789;Diagnostics Performance Test;Provided by vendor;Level 2;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Diagnostics Module;WLS-002;Gas purification and filtration;1;Inconel;Vendor E;$20,000;20 weeks;Medium;External;A.3;Integration of Components;SEMI S234;Gas Purity Analysis;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Control Software System;GFMS-002;Main chamber body;1;Polypropylene;Vendor N;$15,000;16 weeks;Medium;External;B.1;Flow Rate Calibration;SEMI S345;Vacuum Integrity Test;Provided by vendor;Level 2;50 kg;Custom crate;RoHS, REACH;-
Temperature Control Unit;ISA-002;System for controlling gas flow rates;1;Polypropylene;Vendor H;$20,000;14 weeks;High;External;A.1;Software Development;SEMI S345;Robotic Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;WHS-001;Gas purification and filtration;1;Quartz;Vendor P;$10,000;18 weeks;High;External;A.3;Automated Loading;SEMI S789;Electrical Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Etching Chamber;WLS-002;Robot arm and wafer chuck;1;Various;Vendor J;$30,000;20 weeks;High;External;B.2;Precision Machining;SEMI S345;Gas Purity Analysis;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Control Software System;GPS-002;Software system for process control;1;Software;Vendor A;$8,000;14 weeks;High;External;A.2;Software Development;SEMI S456;Visual Inspection;Provided by vendor;Level 1;200 kg;Digital delivery;RoHS, REACH;-
Chamber Assembly;TCU-002;Specialized chamber for etching process;1;Software;Vendor F;$28,000;10 weeks;Medium;External;A.1;CNC Machining;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;30 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;PDM-002;System for loading wafers into chamber;1;Stainless Steel;Vendor F;$10,000;10 weeks;Medium;External;A.1;Laser Cutting, Assembly;SEMI S456;Robotic Tests;Provided by vendor;Level 2;45 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;WLS-002;Software system for process control;1;Copper, Silicon;Vendor O;$25,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;-
Ion Source Assembly;GFMS-002;Robot arm and wafer chuck;1;Aluminum Alloy;Vendor J;$15,000;12 weeks;Medium;External;A.1;CNC Machining;SEMI S456;Gas Purity Analysis;Provided by vendor;Level 1;40 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Plasma Source Assembly;TCU-002;Diagnostic tools for monitoring plasma;1;Titanium;Vendor P;$20,000;14 weeks;High;External;A.3;Robotic Assembly;SEMI S234;Electrical Tests;Provided by vendor;Level 2;45 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Loading System;LID-001;Main chamber body;1;Titanium;Vendor B;$8,000;16 weeks;Medium;External;A.1;Electronic Assembly;SEMI S345;Leak Test;Provided by vendor;Level 1;60 kg;Digital delivery;RoHS, REACH;Safety interlocks during handling
Gas Flow Management System;CS-002;Diagnostic tools for monitoring plasma;1;Stainless Steel;Vendor L;$15,000;8 weeks;Medium;External;B.1;Vacuum Technology;SEMI S678;Mass Spectrometry Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;WHS-001;Robot arm and wafer chuck;1;Various;Vendor E;$20,000;8 weeks;High;External;A.1;CNC Machining;SEMI S234;Functional Tests;Provided by vendor;Level 2;200 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Plasma Diagnostics Module;CHM-001;Main chamber body;1;Stainless Steel;Vendor D;$20,000;22 weeks;Medium;External;B.2;Thermoelectric Cooling;SEMI S890;Functional Tests;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Etching Chamber;PSA-001;Robot arm and wafer chuck;1;Inconel;Vendor D;$18,000;12 weeks;Medium;External;A.3;Integration of Components;SEMI S567;Visual Inspection;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;WHS-001;System for loading wafers into chamber;1;Software;Vendor H;$12,000;10 weeks;High;External;A.1;Software Development;SEMI S456;Visual Inspection;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;-
Plasma Diagnostics Module;GFMS-002;Software system for process control;1;Inconel;Vendor P;$30,000;15 weeks;High;External;A.3;Vacuum Technology;ISO 9001;Vacuum Integrity Test;Provided by vendor;Level 1;30 kg;Digital delivery;RoHS, REACH;-
Wafer Loading System;PCU-002;Robot arm and wafer chuck;1;Aluminum Alloy, Ceramic;Vendor E;$15,000;10 weeks;High;External;A.1;Electronic Assembly;SEMI S456;Software Testing;Provided by vendor;Level 1;-;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Chamber Assembly;WHS-001;Software system for process control;1;Aluminum Alloy;Vendor I;$25,000;8 weeks;Medium;External;A.1;Robotic Assembly;SEMI S678;Functional Tests;Provided by vendor;Level 2;60 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Etching Chamber;CSS-002;Specialized chamber for etching process;1;Software;Vendor F;$15,000;10 weeks;High;External;A.3;Precision Machining;SEMI S567;Robotic Tests;Provided by vendor;Level 2;50 kg;Custom packaging;RoHS, REACH;-
Control Software System;CSS-002;Precision temperature control;1;Software;Vendor N;$8,000;10 weeks;High;External;A.1;Software Development;SEMI S678;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Power Supply Unit;PSU-002;High-voltage power supply;1;Copper, Silicon;Vendor H;$15,000;12 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Etching Chamber;WHS-001;Precision temperature control;1;Electronic Components;Vendor M;$25,000;22 weeks;High;External;A.1;Electronic Assembly;SEMI S567;Helium Leak Test;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;-
Wafer Handling System;WHS-001;RF Generator and Electrostatic Chuck Assembly;1;Stainless Steel;Vendor P;$15,000;20 weeks;High;External;B.1;Vacuum Technology;SEMI S234;Electrical Tests;Provided by vendor;Level 2;45 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Ion Source Assembly;WLS-002;Lid for chamber;1;Copper, Silicon;Vendor N;$18,000;12 weeks;High;External;A.1;Software Development;SEMI S567;Mass Spectrometry Test;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Control Software System;CHM-001;Software system for process control;1;Titanium;Vendor G;$25,000;12 weeks;High;External;A.1;Software Development;SEMI S890;Diagnostics Performance Test;Provided by vendor;Level 1;200 kg;Digital delivery;RoHS, REACH;Safety interlocks during maintenance
Gas Flow Management System;CS-002;Main chamber body;1;Stainless Steel;Vendor Q;$22,000;16 weeks;High;External;A.2;Flow Rate Calibration;SEMI S123;Pressure Test;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Wafer Handling System;VS-002;System for controlling gas flow rates;1;Stainless Steel;Vendor A;$30,000;12 weeks;Medium;External;B.1;CNC Machining;SEMI S890;Visual Inspection;Provided by vendor;Level 2;60 kg;Custom crate;RoHS, REACH;-
Control Software System;PSU-002;Main chamber body;1;Software;Vendor Q;$15,000;10 weeks;High;External;A.1;Software Development;SEMI S345;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Vacuum System;GFMS-002;Precision temperature control;1;Titanium;Vendor B;$15,000;14 weeks;Medium;External;A.2;Precision Machining;SEMI S678;Robotic Tests;Provided by vendor;Level 1;150 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
