Unnamed: 0,Timestamp,Component_Name,Part_Number,Description,Quantity,Material,Supplier,Unit_Cost,Lead_Time,Criticality,Source_of_Supply,Revision_Level,Manufacturing_Process,Quality_Standards,Testing_Requirements,Assembly_Instructions,Subassembly_Level,Weight,Packaging_Information,Environmental_Compliance,Safety_Considerations,Demand
44,2025-06-01 08:00:00,PCU-002,17665,Robot arm and wafer chuck,1,Electronic Components,Vendor LL,24910,14 weeks,Medium,External,A.2,MEMS Fabrication,SEMI S567,Robotic Tests,Provided by vendor,Level 1,26,Custom crate,"RoHS, REACH",-,170.0
1,2023-04-01 08:00:00,EDA-001,11223,Fourier Transform Spectrometer Module,1,"Stainless Steel, Glass",Vendor J,30000,20 weeks,High,External,A.2,CNC Machining,SEMI S234,Terahertz Wave Analysis,Provided by vendor,Level 1,78,Custom crate,"RoHS, REACH",-,198.0
14,2024-06-01 08:00:00,PLC-002,15496,Plasma Control System,1,"Titanium, Polypropylene",Vendor P,28036,8 weeks,High,External,A.3,AFR Integration,SEMI S234,Plasma Resonance Frequency Test,Provided by vendor,Level 2,195,Custom packaging,"RoHS, REACH",-,218.0
26,2025-02-01 08:00:00,MEMS-002,11634,Lid for chamber,1,Stainless Steel,Vendor BB,5000,14 weeks,Medium,External,B.2,Advanced Plasma Generation,SEMI S567,Plasma Characteristics Analysis,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,156.0
55,2024-10-01 08:00:00,SPS-001,19957,Ultrasonic Testing System,1,"Gold, Polymer",Vendor DD,5386,10 weeks,High,External,B.2,MFM Integration,SEMI S234,Visual Inspection,Provided by vendor,Level 2,25,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,211.0
40,2024-06-01 08:00:00,PCB-002,11223,Closed-loop coolant system,1,"Polyethylene, Aluminum",Vendor LL,5000,12 weeks,Medium,External,A.2,"CNC Machining, Welding",SEMI S678,Particle Acceleration Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,90.0
37,2025-07-01 08:00:00,ION-002,11223,Ultrasonic Testing System,1,Electronic Components,Vendor L,5000,12 weeks,Medium,External,A.2,Electronics Integration,SEMI S567,Separation Efficiency Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
0,2025-06-01 08:00:00,GDS-001,42905,Specialized chamber for etching process,1,"Stainless Steel, Glass",Vendor WW,30000,18 weeks,Medium,External,A.2,LBC Integration,SEMI S890,Ion Dose Uniformity Test,Provided by vendor,Level 2,200,Custom crate,"RoHS, REACH",-,198.0
11,2026-01-01 08:00:00,HEA-002,11223,RF Generator and Electrostatic Chuck Assembly,1,Quartz,Vendor UU,30000,14 weeks,High,External,A.3,"CNC Machining, Welding",SEMI S123,Dielectric Barrier Discharge Test,Provided by vendor,Level 2,76,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,240.0
0,2025-06-01 08:00:00,MIR-001,99001,Fourier Transform Spectrometer Module,1,"Stainless Steel, Glass",Vendor S,23695,12 weeks,Medium,External,B.1,Electronic Assembly,SEMI S345,Mass Spectrometry Test,Provided by vendor,Level 1,39,Custom packaging,"RoHS, REACH",Safety interlocks during operation,90.0
19,2024-04-01 08:00:00,SPS-001,99001,Terahertz Spectroscopy Module,1,"Ferrite, Copper",Vendor E,30000,15 weeks,High,External,A.3,EUV Technology,ISO 9001,Temperature Profile Test,Provided by vendor,Level 2,143,Custom crate,"RoHS, REACH",Safety interlocks during operation,235.0
0,2027-05-01 08:00:00,PSA-001,12517,Scanning Probe Microscopy System,1,Stainless Steel,Vendor P,30000,22 weeks,Medium,External,A.2,DBD Integration,SEMI S890,Reactive Ionization Test,Provided by vendor,Level 2,115,Custom crate,"RoHS, REACH",Safety interlocks during operation,206.0
0,2026-08-01 08:00:00,PSA-001,11223,Electrochemical Deposition Apparatus,1,Stainless Steel,Vendor BBB,28969,20 weeks,High,External,B.1,CNC Machining,SEMI S456,Cleaning Efficiency Test,Provided by vendor,Level 2,65,Custom crate,"RoHS, REACH",Safety interlocks during operation,197.0
35,2024-06-01 08:00:00,MFM-002,64414,Photolithography Enhancement Unit,1,Aluminum Alloy,Vendor M,29969,16 weeks,High,External,A.1,RMS Integration,SEMI S678,Voltage Limiting Test,Provided by vendor,Level 2,68,,"RoHS, REACH",Safety interlocks during operation,125.0
2,2027-09-01 08:00:00,EC-002,95897,Plasma Control Software System,1,"Titanium, Polypropylene",Vendor X,16160,8 weeks,High,External,B.2,MEMS Fabrication,SEMI S456,Microstructural Analysis,Provided by vendor,Level 2,42,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
51,2025-02-01 08:00:00,CVL-002,12019,Digital-to-Analog Converter,1,"Titanium, Polypropylene",Vendor BBB,5000,12 weeks,Medium,External,B.1,CMP Technology,SEMI S567,Visual Inspection,Provided by vendor,Level 1,142,Custom crate,"RoHS, REACH",-,90.0
23,2024-09-01 08:00:00,CVL-002,11223,Gas Chromatography Module,1,"Copper, Ceramic",Vendor B,21666,15 weeks,Medium,External,B.2,Ion Implantation Process,SEMI S345,Electrical Safety Tests,Provided by vendor,Level 2,129,Custom crate,"RoHS, REACH",-,187.0
11,2026-04-01 08:00:00,PDM-002,99001,High-performance vacuum system,1,"Quartz, Dielectric Materials",Vendor UU,30000,8 weeks,High,External,A.2,LPC Integration,SEMI S789,Diagnostics Performance Test,Provided by vendor,Level 1,115,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
50,2025-11-01 08:00:00,EDA-001,46218,Hydrogen Gas Activation Unit,1,Zinc Sulfide,Vendor F,30000,14 weeks,High,External,A.1,HEA Integration,ISO 9001,Dielectric Barrier Discharge Test,Provided by vendor,level 1,34,Custom crate,"RoHS, REACH",Safety interlocks during operation,143.0
34,2027-03-01 08:00:00,MFM-002,76095,Diagnostic tools for monitoring plasma,1,"Titanium, Polypropylene",Vendor UU,23585,20 weeks,High,External,A.3,THZ Spectroscopy Integration,SEMI S234,Diagnostics Performance Test,Provided by vendor,Level 2,43,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
0,2026-11-01 08:00:00,DAS-002,33228,Gas distribution manifold,1,Stainless Steel,Vendor RR,5000,14 weeks,Medium,External,A.2,Electronic Assembly,SEMI S567,Particle Acceleration Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,171.0
0,2027-10-01 08:00:00,NANO-002,11223,Terahertz Spectroscopy Module,1,"Stainless Steel, Polyethylene",Vendor DDD,30000,22 weeks,High,External,A.3,MIR Spectroscopy Integration,SEMI S567,Nanoparticle Size Analysis,Provided by vendor,Level 2,41,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
0,2023-01-01 08:00:00,AFR-002,99001,System for loading wafers into chamber,1,Carbon Composite,Vendor PP,30000,22 weeks,Medium,External,A.1,Electronics Integration,SEMI S345,Vacuum Integrity Test,Provided by vendor,Level 2,144,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
58,2025-08-01 08:00:00,PCB-002,32748,Diagnostic tools for monitoring plasma,1,Ceramic,Vendor BB,23056,10 weeks,High,External,B.2,LC Integration,ISO 9001,Helium Leak Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
54,2023-02-01 08:00:00,AFR-002,99001,Gas Chromatography Module,1,"Copper, Magnetic Alloy",Vendor TT,5214,22 weeks,High,External,A.3,EDA Integration,SEMI S234,AFM Resolution Test,Provided by vendor,Level 2,76,Custom crate,"RoHS, REACH",Safety interlocks during operation,111.0
47,2026-01-01 08:00:00,LPC-002,11223,Mid-Infrared Spectroscopy Module,1,"Aluminum, Glass",Vendor E,12718,15 weeks,High,External,A.3,RFS Integration,SEMI S890,Plasma Resonance Frequency Test,Provided by vendor,Level 2,68,Custom packaging,"RoHS, REACH",Safety interlocks during operation,157.0
4,2025-11-01 08:00:00,EUV-001,11223,Ion source for plasma etching,1,Software,Vendor N,5000,8 weeks,High,External,A.2,RFS Integration,SEMI S345,Software Testing,Provided by vendor,Level 1,25,Custom packaging,"RoHS, REACH",-,163.0
0,2027-10-01 08:00:00,PDM-002,99001,Diagnostic tools for monitoring plasma,1,Various,Vendor P,14840,22 weeks,High,External,A.3,Integration of Diagnostics,SEMI S234,Electrical Tests,Provided by vendor,Level 2,151,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
55,2024-05-01 08:00:00,LPC-002,59587,Nanoparticle Deposition Module,1,"Inconel, Polyurethane",Vendor P,30000,16 weeks,High,External,A.2,Ion Implantation Process,SEMI S234,Electrical Tests,Provided by vendor,Level 2,200,Custom crate,"RoHS, REACH",Safety interlocks during operation,161.0
50,2024-08-01 08:00:00,UTS-002,99001,Micro-Etching Module,1,"Titanium, Quartz",Vendor P,30000,16 weeks,High,External,B.1,DBD Integration,SEMI S567,Polishing Uniformity Test,Provided by vendor,Level 1,28,Custom crate,"RoHS, REACH",Safety interlocks during operation,220.0
12,2024-04-01 08:00:00,PDM-002,85255,Diagnostic tools for monitoring plasma,1,Various,Vendor P,30000,15 weeks,High,External,A.3,MIR Spectroscopy Integration,SEMI S234,Electrical Tests,Provided by vendor,Level 2,123,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
0,2025-07-01 08:00:00,GDS-001,19045,High-Energy Accelerator,1,Silicon,Vendor P,30000,10 weeks,High,External,B.2,DBD Integration,SEMI S234,Helium Leak Test,Provided by vendor,Level 2,40,Digital delivery,"RoHS, REACH",-,229.0
0,2023-04-01 08:00:00,CVL-002,58160,Photolithography Enhancement Unit,1,"Copper, Magnetic Alloy",Vendor MM,13504,16 weeks,High,External,A.1,Software Development,SEMI S345,Plasma Uniformity Test,Provided by vendor,level 1,122,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
44,2024-06-01 08:00:00,GC-002,18481,Residual Gas Analyzer,1,Electronic Components,Vendor HH,5000,10 weeks,Medium,External,A.2,LBC Integration,SEMI S567,Voltage Modulation Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
0,2025-04-01 08:00:00,HGA-001,37689,Remote Plasma Inspection Unit,1,Software,Vendor Z,23178,16 weeks,High,External,B.1,DAS Integration,SEMI S456,Activation Efficiency Test,Provided by vendor,Level 1,43,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
26,2026-03-01 08:00:00,GFMS-002,37181,Diagnostic tools for monitoring plasma,1,"Electronic Components, Ceramic",Vendor CC,21453,12 weeks,Medium,External,A.1,CNC Machining,SEMI S345,Separation Efficiency Test,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",-,90.0
30,2023-05-01 08:00:00,GC-002,11223,Micro-Etching Module,1,"Zinc Sulfide, Aluminum",Vendor L,22394,14 weeks,High,External,B.1,Software Development,SEMI S567,Control System Tests,Provided by vendor,Level 1,47,Custom crate,"RoHS, REACH",Safety interlocks during operation,202.0
50,2023-11-01 08:00:00,SPS-001,75279,Gas purification and filtration,1,Aluminum Alloy,Vendor TT,26994,12 weeks,High,External,A.3,Integration of Components,SEMI S456,Control System Tests,Provided by vendor,Level 2,121,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
58,2025-10-01 08:00:00,CHM-001,23791,Digital-to-Analog Converter,1,Carbon Composite,Vendor T,5000,12 weeks,Medium,External,A.1,Precision Machining,SEMI S567,Mass Spectrometry Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,90.0
21,2025-01-01 08:00:00,MFM-002,99001,Cathode Voltage Limiter,1,Software,Vendor FFF,22631,22 weeks,Medium,External,B.2,FTS Integration,SEMI S123,Mass Spectrometry Test,Provided by vendor,Level 1,125,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
25,2024-12-01 08:00:00,TOF-001,99001,Hydrogen Gas Activation Unit,1,"Titanium, Polypropylene",Vendor II,5000,20 weeks,Medium,External,A.1,Electronic Assembly,SEMI S345,Separation Efficiency Test,Provided by vendor,Level 2,33,Custom crate,"RoHS, REACH",Safety interlocks during operation,111.0
52,2026-08-01 08:00:00,DAC-002,33868,Specialized chamber for etching process,1,Electronic Components,Vendor X,5000,16 weeks,Medium,External,A.2,RFS Integration,SEMI S567,Voltage Modulation Test,Provided by vendor,Level 2,25,Custom packaging,"RoHS, REACH",Safety interlocks during operation,127.0
58,2024-07-01 08:00:00,MIR-001,85101,Plasma Cleaning Brush Unit,1,Carbon Composite,Vendor TT,30000,22 weeks,High,External,A.2,CMP Technology,SEMI S456,Voltage Limiting Test,Provided by vendor,Level 1,78,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
55,2026-08-01 08:00:00,ISA-002,86794,Precision temperature control,1,Electronic Components,Vendor P,25835,16 weeks,High,External,B.2,MIR Spectroscopy Integration,SEMI S789,Particle Acceleration Test,Provided by vendor,Level 2,88,Custom crate,"RoHS, REACH",Safety interlocks during maintenance,150.0
44,2027-05-01 08:00:00,PDM-002,99001,Electrochemical Deposition Apparatus,1,"Quartz, Dielectric Materials",Vendor L,28192,16 weeks,High,External,A.3,FTS Integration,SEMI S234,Mass Resolution Test,Provided by vendor,Level 2,117,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
0,2024-10-01 08:00:00,PDM-002,43304,Scanning Probe Microscopy System,1,"Copper, Teflon",Vendor KK,19711,15 weeks,High,External,A.2,RFQ Integration,SEMI S345,Deposition Uniformity Test,Provided by vendor,Level 2,46,Custom crate,"RoHS, REACH",Safety interlocks during operation,161.0
37,2023-03-01 08:00:00,DAS-002,11223,High-performance vacuum system,1,"Stainless Steel, Glass",Vendor E,17889,20 weeks,High,External,A.2,MAS Integration,SEMI S789,Visual Inspection,Provided by vendor,Level 2,25,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
53,2024-08-01 08:00:00,HGA-001,11223,Plasma Resonance Analyzer,1,"Inconel, Polyurethane",Vendor HH,19386,14 weeks,Medium,External,A.1,CNC Machining,SEMI S789,Separation Efficiency Test,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,194.0
0,2027-06-01 08:00:00,WLS-002,95416,Control system for plasma parameters,1,Various,Vendor P,30000,20 weeks,High,External,A.3,PMS Integration,SEMI S234,Electrical Safety Tests,Provided by vendor,Level 2,55,Custom crate,,Safety interlocks during operation,240.0
15,2025-04-01 08:00:00,PLC-002,22577,Robot arm and wafer chuck,1,"Ceramic, Silicon",Vendor Y,5000,12 weeks,Medium,External,B.2,Filtration and Purification,SEMI S456,Helium Leak Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,91.0
42,2026-01-01 08:00:00,AFR-002,31018,Diagnostic tools for monitoring plasma,1,"Copper, Ceramic",Vendor L,30000,12 weeks,High,External,B.2,Integration of Diagnostics,SEMI S234,Spectral Resolution Test,Provided by vendor,Level 2,37,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
19,2025-03-01 08:00:00,PDM-002,11223,Diagnostic tools for monitoring plasma,1,Polypropylene,Vendor YY,30000,15 weeks,High,External,A.3,Hydrogen Activation Process,SEMI S789,Spectral Analysis Test,Provided by vendor,Level 2,106,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
21,2025-06-01 08:00:00,DAS-002,39650,Digital-to-Analog Converter,1,"Copper, Ceramic",Vendor AA,10939,14 weeks,High,External,A.2,FTIR Spectroscopy Integration,SEMI S456,Resonance Frequency Test,Provided by vendor,Level 2,116,Custom crate,"RoHS, REACH",Safety interlocks during operation,173.0
10,2027-02-01 08:00:00,THZ-001,99001,Hydrogen Gas Activation Unit,1,Stainless Steel,Vendor CCC,17979,14 weeks,High,External,A.3,FTIR Spectroscopy Integration,SEMI S234,Gas Composition Analysis,Provided by vendor,Level 2,90,Custom crate,"RoHS, REACH",Safety interlocks during operation,100.0
1,2024-09-01 08:00:00,PCB-002,11223,Residual Gas Analyzer,1,"Stainless Steel, Glass",Vendor DDD,5000,10 weeks,Medium,External,A.1,Thermoelectric Cooling,SEMI S678,Separation Efficiency Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,90.0
0,2024-03-01 08:00:00,NEW-001,99001,Cathode Voltage Limiter,1,Aluminum Alloy,Vendor YY,16373,12 weeks,Medium,External,B.2,"CNC Machining, Welding",SEMI S345,Mass Spectrometry Test,Provided by vendor,Level 1,200,Custom crate,"RoHS, REACH",-,94.0
21,2024-04-01 08:00:00,PDM-002,99001,Diagnostic tools for monitoring plasma,1,"Titanium, Silicon",Vendor KK,11938,22 weeks,High,External,A.3,Integration of Diagnostics,SEMI S234,Resonance Frequency Test,Provided by vendor,Level 2,78,,"RoHS, REACH",Safety interlocks during operation,240.0
35,2027-08-01 08:00:00,EC-002,81818,Fourier Transform Infrared Spectroscopy Module,1,"Aluminum Alloy, Ceramic",Vendor HH,24628,10 weeks,High,External,A.2,Quartz Fabrication,SEMI S234,Particle Acceleration Test,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,180.0
20,2025-06-01 08:00:00,CVL-002,99001,Fourier Transform Infrared Spectroscopy Module,1,"Electronic Components, Ceramic",Vendor Z,30000,15 weeks,High,External,A.1,CVL Integration,SEMI S234,Robotic Tests,Provided by vendor,Level 2,62,Custom crate,"RoHS, REACH",Safety interlocks during operation,116.0
53,2025-09-01 08:00:00,HVM-002,12884,RF Generator and Electrostatic Chuck Assembly,1,Stainless Steel,Vendor KK,27934,16 weeks,Medium,External,A.2,HEA Integration,SEMI S456,Ion Dose Uniformity Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,90.0
0,2024-04-01 08:00:00,ACU-002,11223,Micro-Etching Module,1,"Polyethylene, Aluminum",Vendor X,20201,14 weeks,High,External,A.2,Flow Rate Calibration,SEMI S678,Polishing Uniformity Test,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",-,229.0
51,2026-08-01 08:00:00,DAC-002,99001,Plasma Resonance Analyzer,1,Aluminum Alloy,Vendor T,27347,8 weeks,Medium,External,A.3,"CNC Machining, Welding",SEMI S345,Leak Test,Provided by vendor,Level 2,131,Custom crate,"RoHS, REACH",Safety interlocks during maintenance,105.0
40,2027-11-01 08:00:00,LPC-002,99001,System for controlling gas flow rates,1,"Aluminum Alloy, Glass",Vendor AA,12034,12 weeks,Medium,External,A.3,THZ Spectroscopy Integration,SEMI S890,Ultrasonic Testing,Provided by vendor,Level 2,37,Custom packaging,"RoHS, REACH",Safety interlocks during operation,150.0
0,2026-01-01 08:00:00,HGA-001,22541,Gas Chromatography Module,1,"Ferrite, Copper",Vendor D,29232,16 weeks,High,External,B.2,FTIR Spectroscopy Integration,SEMI S789,Diagnostics Performance Test,Provided by vendor,Level 2,147,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
35,2023-06-01 08:00:00,DAS-002,14674,Terahertz Spectroscopy Module,1,Stainless Steel,Vendor Q,30000,16 weeks,Medium,External,A.2,Plasma Brush Technology,SEMI S234,Visual Inspection,Provided by vendor,Level 2,43,Custom packaging,"RoHS, REACH",-,117.0
11,2024-04-01 08:00:00,EC-002,16251,Diagnostic tools for monitoring plasma,1,Electronic Components,Vendor DDD,30000,16 weeks,High,External,A.3,Integration of Components,SEMI S234,Polishing Uniformity Test,Provided by vendor,Level 2,62,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
0,2024-09-01 08:00:00,TOF-001,99001,Advanced Plasma Source,1,"Copper, Ceramic",Vendor ZZ,30000,12 weeks,Medium,External,A.1,MFM Integration,SEMI S345,Microstructural Analysis,Provided by vendor,Level 2,35,Custom crate,"RoHS, REACH",Safety interlocks during operation,228.0
45,2025-11-01 08:00:00,TOF-001,16378,Micro-Etching Module,1,Stainless Steel,Vendor VV,5000,8 weeks,Medium,External,A.2,Ion Implantation Process,SEMI S456,Electrical Tests,Provided by vendor,Level 1,25,Digital delivery,"RoHS, REACH",-,240.0
0,2025-12-01 08:00:00,DIE-001,99001,Dynamic Temperature Profiler,1,Titanium,Vendor Z,18047,8 weeks,High,External,A.3,AFR Integration,SEMI S567,Polishing Uniformity Test,Provided by vendor,Level 1,128,Custom packaging,"RoHS, REACH",Safety interlocks during operation,90.0
0,2025-08-01 08:00:00,PCB-002,99001,Magnetic Field Manipulation Unit,1,Stainless Steel,Vendor UU,5000,12 weeks,High,External,A.1,TOF-MS Integration,SEMI S456,Ellipsometry Accuracy Test,Provided by vendor,Level 2,200,Custom crate,"RoHS, REACH",-,96.0
46,2025-04-01 08:00:00,EC-002,11223,Plasma Control Software System,1,"Gold, Polymer",Vendor JJ,5000,14 weeks,Medium,External,A.2,Ultrasonic Testing Integration,SEMI S678,Mass Spectrometry Test,Provided by vendor,Level 1,34,Custom crate,"RoHS, REACH",-,107.0
0,2026-01-01 08:00:00,CHM-001,11223,Gas Chromatography Module,1,Aluminum Alloy,Vendor X,24752,20 weeks,High,External,A.3,Precision Machining,SEMI S890,Functional Tests,Provided by vendor,Level 2,112,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
0,2026-12-01 08:00:00,RFI-002,11223,Nanoparticle Deposition Module,1,"Stainless Steel, Glass",Vendor NN,14343,20 weeks,Medium,External,B.2,LC Integration,SEMI S345,Microstructural Analysis,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,211.0
15,2024-04-01 08:00:00,PSA-001,59987,Micro-Etching Module,1,"Glass, Quartz",Vendor X,27185,16 weeks,High,External,A.3,CVL Integration,SEMI S345,Diagnostics Performance Test,Provided by vendor,Level 2,70,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
39,2023-10-01 08:00:00,CHM-001,11223,Fourier Transform Spectrometer Module,1,Zinc Selenide,Vendor YY,5000,14 weeks,Medium,External,B.1,HEA Integration,SEMI S234,Ion Dose Uniformity Test,Provided by vendor,Level 2,64,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
24,2024-06-01 08:00:00,SPS-001,99001,Residual Gas Analyzer,1,"Ceramic, Polyurethane",Vendor OO,12980,18 weeks,High,External,A.2,EMF Integration,SEMI S345,Resonance Frequency Test,Provided by vendor,Level 2,137,Custom packaging,"RoHS, REACH",Safety interlocks during operation,127.0
58,2023-11-01 08:00:00,PCS-002,91352,Time-of-Flight Mass Spectrometry Module,1,Silicon,Vendor Y,15001,10 weeks,High,External,A.2,Robotic Assembly,SEMI S234,Gas Purity Analysis,Provided by vendor,Level 2,47,Custom packaging,"RoHS, REACH",Safety interlocks during operation,204.0
3,2026-08-01 08:00:00,LID-001,75357,Dynamic Temperature Profiler,1,"Ceramic, Silicon",Vendor HH,13797,18 weeks,High,External,B.1,DTP Integration,SEMI S234,Spectral Analysis Test,Provided by vendor,Level 2,59,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
15,2025-02-01 08:00:00,TOF-001,44505,Gas Chromatography Module,1,"Electronic Components, Ceramic",Vendor RR,30000,12 weeks,Medium,External,A.2,CNC Machining,SEMI S567,Visual Inspection,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
58,2023-10-01 08:00:00,CHM-001,30223,Main chamber body,1,Stainless Steel,Vendor X,30000,14 weeks,Medium,External,A.2,DTP Integration,SEMI S345,Separation Efficiency Test,Provided by vendor,Level 1,26,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
27,2027-05-01 08:00:00,DTP-001,11223,System for loading wafers into chamber,1,Silicon,Vendor ZZ,22036,14 weeks,High,External,A.1,Precision Machining,SEMI S456,Robotic Tests,Provided by vendor,Level 2,88,Custom packaging,"RoHS, REACH",Safety interlocks during operation,172.0
49,2026-09-01 08:00:00,RFQ-002,35288,Hydrogen Gas Activation Unit,1,Aluminum Alloy,Vendor QQ,28319,12 weeks,Medium,External,A.3,EMF Integration,SEMI S789,Pressure Uniformity Test,Provided by vendor,Level 2,25,Custom packaging,"RoHS, REACH",-,240.0
